Document group,Document name,Beginning,Context,Keyword,Context
1960s_AA > albertking,albertking-sc-ill_play_the_blues_for_you,33,groovy ,ain't, it
1960s_AA > albertking,albertking-sc-ill_play_the_blues_for_you,33,groovy ,ain't, it
1960s_AA > albertking,albertking-sc-ill_play_the_blues_for_you,35,I ,ain't, got
1960s_AA > albertking,albertking-sc-ill_play_the_blues_for_you,35,I ,ain't, got
1960s_AA > albertking,albertking-sc-ill_play_the_blues_for_you,36,I ,ain't, no
1960s_AA > albertking,albertking-sc-ill_play_the_blues_for_you,36,I ,ain't, no
1960s_AA > albertking,albertking-so-oh_pretty_woman,5,powder ,ain't, gonna
1960s_AA > albertking,albertking-so-oh_pretty_woman,5,powder ,ain't, gonna
1960s_AA > bbking,bbking-lo-you_done_lost_your_good_thing_now,19,you ,ain't, what
1960s_AA > bbking,bbking-lo-you_done_lost_your_good_thing_now,19,you ,ain't, what
1960s_AA > bbking,bbking-so-you_done_lost_your_good_thing_now,13,you ,ain't, what
1960s_AA > bbking,bbking-so-you_done_lost_your_good_thing_now,13,you ,ain't, what
1960s_AA > freddieking,freddieking-lc-aint_no_sunshine,3,intro))  ,ain't, no
1960s_AA > freddieking,freddieking-lc-aint_no_sunshine,3,intro))  ,ain't, no
1960s_AA > freddieking,freddieking-lc-aint_no_sunshine,5,away  ,ain't, no
1960s_AA > freddieking,freddieking-lc-aint_no_sunshine,5,away  ,ain't, no
1960s_AA > freddieking,freddieking-lc-aint_no_sunshine,10,stay  ,ain't, no
1960s_AA > freddieking,freddieking-lc-aint_no_sunshine,10,stay  ,ain't, no
1960s_AA > freddieking,freddieking-lc-aint_no_sunshine,11,just ,ain't, no
1960s_AA > freddieking,freddieking-lc-aint_no_sunshine,11,just ,ain't, no
1960s_AA > freddieking,freddieking-lc-aint_no_sunshine,15,alone  ,ain't, no
1960s_AA > freddieking,freddieking-lc-aint_no_sunshine,15,alone  ,ain't, no
1960s_AA > freddieking,freddieking-lc-aint_no_sunshine,16,gone  ,ain't, no
1960s_AA > freddieking,freddieking-lc-aint_no_sunshine,16,gone  ,ain't, no
1960s_AA > freddieking,freddieking-lc-aint_no_sunshine,18,everyday  ,ain't, no
1960s_AA > freddieking,freddieking-lc-aint_no_sunshine,18,everyday  ,ain't, no
1960s_AA > freddieking,freddieking-lc-aint_no_sunshine,19,just ,ain't, no
1960s_AA > freddieking,freddieking-lc-aint_no_sunshine,19,just ,ain't, no
1960s_AA > freddieking,freddieking-sc-aint_no_sunshine,2,intro))   ,ain't, no
1960s_AA > freddieking,freddieking-sc-aint_no_sunshine,2,intro))   ,ain't, no
1960s_AA > freddieking,freddieking-sc-aint_no_sunshine,4,yea   ,ain't, no
1960s_AA > freddieking,freddieking-sc-aint_no_sunshine,4,yea   ,ain't, no
1960s_AA > freddieking,freddieking-sc-aint_no_sunshine,9,because ,ain't, no
1960s_AA > freddieking,freddieking-sc-aint_no_sunshine,9,because ,ain't, no
1960s_AA > freddieking,freddieking-sc-aint_no_sunshine,10,just ,ain't, no
1960s_AA > freddieking,freddieking-sc-aint_no_sunshine,10,just ,ain't, no
1960s_AA > freddieking,freddieking-sc-aint_no_sunshine,14,alone   ,ain't, no
1960s_AA > freddieking,freddieking-sc-aint_no_sunshine,14,alone   ,ain't, no
1960s_AA > freddieking,freddieking-sc-aint_no_sunshine,15,gone   ,ain't, no
1960s_AA > freddieking,freddieking-sc-aint_no_sunshine,15,gone   ,ain't, no
1960s_AA > freddieking,freddieking-sc-aint_no_sunshine,17,everyday   ,ain't, no
1960s_AA > freddieking,freddieking-sc-aint_no_sunshine,17,everyday   ,ain't, no
1960s_AA > freddieking,freddieking-sc-aint_no_sunshine,18,just ,ain't, no
1960s_AA > freddieking,freddieking-sc-aint_no_sunshine,18,just ,ain't, no
1960s_AA > jimihendrix,jimihendrix-lc-hey_joe,13,that ,ain't, too
1960s_AA > jimihendrix,jimihendrix-lc-hey_joe,13,that ,ain't, too
1960s_AA > jimihendrix,jimihendrix-lc-hey_joe,40,unintelligible)   ,ain't, no
1960s_AA > jimihendrix,jimihendrix-lc-hey_joe,40,unintelligible)   ,ain't, no
1960s_AA > jimihendrix,jimihendrix-lc-hey_joe,41,he ,ain't, gonna
1960s_AA > jimihendrix,jimihendrix-lc-hey_joe,41,he ,ain't, gonna
1960s_AA > jimihendrix,jimihendrix-lo-red_house,6,I ,ain't, been
1960s_AA > jimihendrix,jimihendrix-lo-red_house,6,I ,ain't, been
1960s_AA > jimihendrix,jimihendrix-lo-red_house,16,she ,ain't, said
1960s_AA > jimihendrix,jimihendrix-lo-red_house,16,she ,ain't, said
1960s_AA > jimihendrix,jimihendrix-sc-hey_joe,13,that ,ain't, too
1960s_AA > jimihendrix,jimihendrix-sc-hey_joe,13,that ,ain't, too
1960s_AA > jimihendrix,jimihendrix-sc-hey_joe,40,free   ,ain't, no
1960s_AA > jimihendrix,jimihendrix-sc-hey_joe,40,free   ,ain't, no
1960s_AA > jimihendrix,jimihendrix-sc-hey_joe,41,me)   ,ain't, no
1960s_AA > jimihendrix,jimihendrix-sc-hey_joe,41,me)   ,ain't, no
1960s_AA > jimihendrix,jimihendrix-sc-hey_joe,42,he ,ain't, gonna
1960s_AA > jimihendrix,jimihendrix-sc-hey_joe,42,he ,ain't, gonna
1960s_AA > jimihendrix,jimihendrix-so-red_house,6,I ,ain't, been
1960s_AA > jimihendrix,jimihendrix-so-red_house,6,I ,ain't, been
1960s_AA > muddywaters,muddywaters-lc-rollin_stone,32,time ,ain't, long
1960s_AA > muddywaters,muddywaters-lc-rollin_stone,32,time ,ain't, long
1960s_AA > muddywaters,muddywaters-lo-i_got_my_brand_on_you,8,there ,ain't, nothing
1960s_AA > muddywaters,muddywaters-lo-i_got_my_brand_on_you,8,there ,ain't, nothing
1960s_AA > muddywaters,muddywaters-lo-i_got_my_brand_on_you,16,there ,ain't, nothng
1960s_AA > muddywaters,muddywaters-lo-i_got_my_brand_on_you,16,there ,ain't, nothng
1960s_AA > muddywaters,muddywaters-lo-i_got_my_brand_on_you,24,there ,ain't, nothing
1960s_AA > muddywaters,muddywaters-lo-i_got_my_brand_on_you,24,there ,ain't, nothing
1960s_AA > muddywaters,muddywaters-lo-i_got_my_brand_on_you,27,there ,ain't, nothing
1960s_AA > muddywaters,muddywaters-lo-i_got_my_brand_on_you,27,there ,ain't, nothing
1960s_AA > muddywaters,muddywaters-lo-i_got_my_brand_on_you,32,there ,ain't, nothing
1960s_AA > muddywaters,muddywaters-lo-i_got_my_brand_on_you,32,there ,ain't, nothing
1960s_AA > muddywaters,muddywaters-lo-i_got_my_brand_on_you,41,there ,ain't, nothing
1960s_AA > muddywaters,muddywaters-lo-i_got_my_brand_on_you,41,there ,ain't, nothing
1960s_AA > muddywaters,muddywaters-lo-tiger_in_your_tank,33,to)  ,ain't, but
1960s_AA > muddywaters,muddywaters-lo-tiger_in_your_tank,33,to)  ,ain't, but
1960s_AA > muddywaters,muddywaters-sc-rollin_stone,39,time ,ain't, long
1960s_AA > muddywaters,muddywaters-sc-rollin_stone,39,time ,ain't, long
1960s_AA > muddywaters,muddywaters-so-i_got_my_brand_on_you,6,there ,ain't, nothing
1960s_AA > muddywaters,muddywaters-so-i_got_my_brand_on_you,6,there ,ain't, nothing
1960s_AA > muddywaters,muddywaters-so-i_got_my_brand_on_you,14,there ,ain't, nothing
1960s_AA > muddywaters,muddywaters-so-i_got_my_brand_on_you,14,there ,ain't, nothing
1960s_AA > muddywaters,muddywaters-so-i_got_my_brand_on_you,24,there ,ain't, nothing
1960s_AA > muddywaters,muddywaters-so-i_got_my_brand_on_you,24,there ,ain't, nothing
1960s_AA > muddywaters,muddywaters-so-i_got_my_brand_on_you,32,there ,ain't, nothing
1960s_AA > muddywaters,muddywaters-so-i_got_my_brand_on_you,32,there ,ain't, nothing
1960s_nonAA_nonUS > fleetwoodmac,fleetwoodmac-sc-dust_my_broom,21,time ,ain't, long
1960s_nonAA_nonUS > fleetwoodmac,fleetwoodmac-sc-dust_my_broom,21,time ,ain't, long
1960s_nonAA_nonUS > fleetwoodmac,fleetwoodmac-sc-dust_my_broom,23,time ,ain't, long
1960s_nonAA_nonUS > fleetwoodmac,fleetwoodmac-sc-dust_my_broom,23,time ,ain't, long
1960s_nonAA_nonUS > fleetwoodmac,fleetwoodmac-sc-dust_my_broom,24,I ,ain't, gonna
1960s_nonAA_nonUS > fleetwoodmac,fleetwoodmac-sc-dust_my_broom,24,I ,ain't, gonna
1960s_nonAA_nonUS > rollingstones,rollingstones-sc-little_red_rooster,18,home   ,ain't, had
1960s_nonAA_nonUS > rollingstones,rollingstones-sc-little_red_rooster,18,home   ,ain't, had
1960s_nonAA_nonUS > rollingstones,rollingstones-so-little_by_little,13,things ,ain't, been
1960s_nonAA_nonUS > rollingstones,rollingstones-so-little_by_little,13,things ,ain't, been
1960s_nonAA_nonUS > savoybrown,savoybrown-sc-rock_me_baby,7,back ,ain't, got
1960s_nonAA_nonUS > savoybrown,savoybrown-sc-rock_me_baby,7,back ,ain't, got
1960s_nonAA_nonUS > savoybrown,savoybrown-so-hard_way_to_go,2,intro))   ,ain't, got
1960s_nonAA_nonUS > savoybrown,savoybrown-so-hard_way_to_go,2,intro))   ,ain't, got
1960s_nonAA_nonUS > savoybrown,savoybrown-so-hard_way_to_go,3,fears   ,ain't, got
1960s_nonAA_nonUS > savoybrown,savoybrown-so-hard_way_to_go,3,fears   ,ain't, got
1960s_nonAA_nonUS > savoybrown,savoybrown-so-hard_way_to_go,4,tears   ,ain't, got
1960s_nonAA_nonUS > savoybrown,savoybrown-so-hard_way_to_go,4,tears   ,ain't, got
1960s_nonAA_nonUS > savoybrown,savoybrown-so-hard_way_to_go,7,hand   ,ain't, no
1960s_nonAA_nonUS > savoybrown,savoybrown-so-hard_way_to_go,7,hand   ,ain't, no
1960s_nonAA_nonUS > savoybrown,savoybrown-so-hard_way_to_go,8,sand   ,ain't, got
1960s_nonAA_nonUS > savoybrown,savoybrown-so-hard_way_to_go,8,sand   ,ain't, got
1960s_nonAA_nonUS > savoybrown,savoybrown-so-hard_way_to_go,14,you ,ain't, got
1960s_nonAA_nonUS > savoybrown,savoybrown-so-hard_way_to_go,14,you ,ain't, got
1960s_nonAA_nonUS > savoybrown,savoybrown-so-im_tired,6,live ,ain't, mine
1960s_nonAA_nonUS > savoybrown,savoybrown-so-im_tired,6,live ,ain't, mine
1960s_nonAA_nonUS > savoybrown,savoybrown-so-im_tired,9,I ,ain't, gonna
1960s_nonAA_nonUS > savoybrown,savoybrown-so-im_tired,9,I ,ain't, gonna
1960s_nonAA_nonUS > savoybrown,savoybrown-so-im_tired,11,know ,ain't, me
1960s_nonAA_nonUS > savoybrown,savoybrown-so-im_tired,11,know ,ain't, me
1960s_nonAA_nonUS > savoybrown,savoybrown-so-im_tired,15,now ,ain't, that
1960s_nonAA_nonUS > savoybrown,savoybrown-so-im_tired,15,now ,ain't, that
1960s_nonAA_nonUS > savoybrown,savoybrown-so-im_tired,24,know ,ain't, me
1960s_nonAA_nonUS > savoybrown,savoybrown-so-im_tired,24,know ,ain't, me
1960s_nonAA_nonUS > savoybrown,savoybrown-so-im_tired,28,now ,ain't, that
1960s_nonAA_nonUS > savoybrown,savoybrown-so-im_tired,28,now ,ain't, that
1960s_nonAA_nonUS > tenyearsafter,tenyearsafter-so-rock_your_mama,31,she ,ain't, made
1960s_nonAA_nonUS > tenyearsafter,tenyearsafter-so-rock_your_mama,31,she ,ain't, made
1960s_nonAA_US > allmanbrothers,allmanbrothers-lc-hoochie_coochie_man,15,just ,ain't, no
1960s_nonAA_US > allmanbrothers,allmanbrothers-lc-hoochie_coochie_man,15,just ,ain't, no
1960s_nonAA_US > allmanbrothers,allmanbrothers-lc-statesboro_blues,11,I ,ain't, good
1960s_nonAA_US > allmanbrothers,allmanbrothers-lc-statesboro_blues,11,I ,ain't, good
1960s_nonAA_US > allmanbrothers,allmanbrothers-lc-trouble_no_more,6,you ,ain't, gonna
1960s_nonAA_US > allmanbrothers,allmanbrothers-lc-trouble_no_more,6,you ,ain't, gonna
1960s_nonAA_US > allmanbrothers,allmanbrothers-lc-trouble_no_more,12,you ,ain't, got
1960s_nonAA_US > allmanbrothers,allmanbrothers-lc-trouble_no_more,12,you ,ain't, got
1960s_nonAA_US > allmanbrothers,allmanbrothers-lc-trouble_no_more,18,you ,ain't, gonna
1960s_nonAA_US > allmanbrothers,allmanbrothers-lc-trouble_no_more,18,you ,ain't, gonna
1960s_nonAA_US > allmanbrothers,allmanbrothers-lc-trouble_no_more,24,you ,ain't, gonna
1960s_nonAA_US > allmanbrothers,allmanbrothers-lc-trouble_no_more,24,you ,ain't, gonna
1960s_nonAA_US > allmanbrothers,allmanbrothers-lc-trouble_no_more,31,you ,ain't, gonna
1960s_nonAA_US > allmanbrothers,allmanbrothers-lc-trouble_no_more,31,you ,ain't, gonna
1960s_nonAA_US > allmanbrothers,allmanbrothers-sc-hoochie_coochie_man,23,one   ,ain't, no
1960s_nonAA_US > allmanbrothers,allmanbrothers-sc-hoochie_coochie_man,23,one   ,ain't, no
1960s_nonAA_US > allmanbrothers,allmanbrothers-sc-statesboro_blues,18,I ,ain't, good
1960s_nonAA_US > allmanbrothers,allmanbrothers-sc-statesboro_blues,18,I ,ain't, good
1960s_nonAA_US > allmanbrothers,allmanbrothers-sc-trouble_no_more,7,you ,ain't, gonna
1960s_nonAA_US > allmanbrothers,allmanbrothers-sc-trouble_no_more,7,you ,ain't, gonna
1960s_nonAA_US > allmanbrothers,allmanbrothers-sc-trouble_no_more,16,you ,ain't, gonna
1960s_nonAA_US > allmanbrothers,allmanbrothers-sc-trouble_no_more,16,you ,ain't, gonna
1960s_nonAA_US > allmanbrothers,allmanbrothers-sc-trouble_no_more,25,you ,ain't, gonna
1960s_nonAA_US > allmanbrothers,allmanbrothers-sc-trouble_no_more,25,you ,ain't, gonna
1960s_nonAA_US > allmanbrothers,allmanbrothers-sc-trouble_no_more,34,you ,ain't, gonna
1960s_nonAA_US > allmanbrothers,allmanbrothers-sc-trouble_no_more,34,you ,ain't, gonna
1960s_nonAA_US > allmanbrothers,allmanbrothers-sc-trouble_no_more,44,you ,ain't, gonna
1960s_nonAA_US > allmanbrothers,allmanbrothers-sc-trouble_no_more,44,you ,ain't, gonna
1960s_nonAA_US > janisjoplin,janisjoplin-lc-piece_of_my_heart,16,it ,ain't, right
1960s_nonAA_US > janisjoplin,janisjoplin-lc-piece_of_my_heart,16,it ,ain't, right
1960s_nonAA_US > janisjoplin,janisjoplin-lo-kozmic_blues,29,no  ,ain't, never
1960s_nonAA_US > janisjoplin,janisjoplin-lo-kozmic_blues,29,no  ,ain't, never
1960s_nonAA_US > janisjoplin,janisjoplin-lo-women_is_losers,16,there ,ain't, no
1960s_nonAA_US > janisjoplin,janisjoplin-lo-women_is_losers,16,there ,ain't, no
1960s_nonAA_US > janisjoplin,janisjoplin-sc-piece_of_my_heart,29,it ,ain't, right
1960s_nonAA_US > janisjoplin,janisjoplin-sc-piece_of_my_heart,29,it ,ain't, right
1960s_nonAA_US > janisjoplin,janisjoplin-so-i_need_a_man_to_love,10,it ,ain't, too
1960s_nonAA_US > janisjoplin,janisjoplin-so-i_need_a_man_to_love,10,it ,ain't, too
1960s_nonAA_US > janisjoplin,janisjoplin-so-i_need_a_man_to_love,49,unintelligible) ,ain't, never
1960s_nonAA_US > janisjoplin,janisjoplin-so-i_need_a_man_to_love,49,unintelligible) ,ain't, never
1960s_nonAA_US > janisjoplin,janisjoplin-so-kozmic_blues,29,no   ,ain't, never
1960s_nonAA_US > janisjoplin,janisjoplin-so-kozmic_blues,29,no   ,ain't, never
1960s_nonAA_US > janisjoplin,janisjoplin-so-kozmic_blues,65,it ,ain't, gonna
1960s_nonAA_US > janisjoplin,janisjoplin-so-kozmic_blues,65,it ,ain't, gonna
1980s_AA > albertcollins,albertcollins-sc-a_good_fool_is_hard_to_find,4,you ,ain't, nothing
1980s_AA > albertcollins,albertcollins-sc-a_good_fool_is_hard_to_find,4,you ,ain't, nothing
1980s_AA > albertcollins,albertcollins-sc-i_aint_drunk,8,I ,ain't, drunk
1980s_AA > albertcollins,albertcollins-sc-i_aint_drunk,8,I ,ain't, drunk
1980s_AA > albertcollins,albertcollins-sc-i_aint_drunk,10,I ,ain't, high
1980s_AA > albertcollins,albertcollins-sc-i_aint_drunk,10,I ,ain't, high
1980s_AA > albertcollins,albertcollins-sc-i_aint_drunk,20,I ,ain't, drunk
1980s_AA > albertcollins,albertcollins-sc-i_aint_drunk,20,I ,ain't, drunk
1980s_AA > albertcollins,albertcollins-sc-i_aint_drunk,22,I ,ain't, drunk
1980s_AA > albertcollins,albertcollins-sc-i_aint_drunk,22,I ,ain't, drunk
1980s_AA > albertcollins,albertcollins-sc-i_aint_drunk,23,I ,ain't, drunk
1980s_AA > albertcollins,albertcollins-sc-i_aint_drunk,23,I ,ain't, drunk
1980s_AA > albertcollins,albertcollins-sc-i_aint_drunk,36,I ,ain't, drunk
1980s_AA > albertcollins,albertcollins-sc-i_aint_drunk,36,I ,ain't, drunk
1980s_AA > albertcollins,albertcollins-sc-i_aint_drunk,39,I ,ain't, high
1980s_AA > albertcollins,albertcollins-sc-i_aint_drunk,39,I ,ain't, high
1980s_AA > albertcollins,albertcollins-sc-i_aint_drunk,50,I ,ain't, drunk
1980s_AA > albertcollins,albertcollins-sc-i_aint_drunk,50,I ,ain't, drunk
1980s_AA > albertcollins,albertcollins-sc-i_aint_drunk,55,I ,ain't, had
1980s_AA > albertcollins,albertcollins-sc-i_aint_drunk,55,I ,ain't, had
1980s_AA > kokotaylor,kokotaylor-so-come_to_mama,7,moon ,ain't, shining
1980s_AA > kokotaylor,kokotaylor-so-come_to_mama,7,moon ,ain't, shining
1980s_AA > kokotaylor,kokotaylor-so-im_a_woman,46,I ,ain't, never
1980s_AA > kokotaylor,kokotaylor-so-im_a_woman,46,I ,ain't, never
1980s_AA > kokotaylor,kokotaylor-so-im_a_woman,50,you   ,ain't, never
1980s_AA > kokotaylor,kokotaylor-so-im_a_woman,50,you   ,ain't, never
1980s_AA > kokotaylor,kokotaylor-so-jump_for_joy,7,you ,ain't, too
1980s_AA > kokotaylor,kokotaylor-so-jump_for_joy,7,you ,ain't, too
1980s_AA > kokotaylor,kokotaylor-so-jump_for_joy,30,wall   ,ain't, gonna
1980s_AA > kokotaylor,kokotaylor-so-jump_for_joy,30,wall   ,ain't, gonna
1980s_AA > kokotaylor,kokotaylor-so-jump_for_joy,44,wall   ,ain't, gonna
1980s_AA > kokotaylor,kokotaylor-so-jump_for_joy,44,wall   ,ain't, gonna
1980s_AA > lutherallison,lutherallison-sc-freedom,17,apartheid ,ain't, right
1980s_AA > lutherallison,lutherallison-sc-freedom,17,apartheid ,ain't, right
1980s_AA > lutherallison,lutherallison-sc-little_red_rooster,25,I ,ain't, had
1980s_AA > lutherallison,lutherallison-sc-little_red_rooster,25,I ,ain't, had
